,country,Code_x,year,mortality,increase_mort,Code_y,smoke_prev,increse_smoke,CO,CO_mean,uplift_CO,O3,O3_mean,uplift_O3,PM,PM_mean,uplift_PM,Family,Freedom,Generosity,Region,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Trust (Government Corruption),Dystopia Residual
501,Monaco,MCO,2016,17.84,-0.26000000000000156,,,,0.11388246,0.12048299525,-0.005624957999999999,0.0564512640787801,0.05689416289414503,-0.00048109817466279736,3.79937e-09,4.713345e-09,-3.773599999999996e-10,,,,,,,,,
502,Monaco,MCO,2017,17.58,-0.26000000000000156,,,,0.13795381,0.12048299525,0.024071350000000005,0.0571730358629191,0.05689416289414503,0.0007217717841389998,6.62418e-09,4.713345e-09,2.8248099999999995e-09,,,,,,,,,
503,Monaco,MCO,2018,17.31,-0.2699999999999996,,,,0.110588293,0.12048299525,-0.027365517000000006,0.057019989381438,0.05689416289414503,-0.00015304648148110195,4.2531e-09,4.713345e-09,-2.37108e-09,,,,,,,,,
504,Mongolia,MNG,2015,28.26,,MNG,30.600000381469727,,0.141559954,0.144948418,,0.0588009734108209,0.058635896405442325,,1.57799e-08,1.4419275e-08,,1.3006,0.43626,0.3323,Eastern Asia,4.874,0.82819,0.60268,0.02666,1.34759
505,Mongolia,MNG,2016,28.4,0.13999999999999702,,,,0.13757639,0.144948418,-0.003983563999999995,0.0578621978415768,0.058635896405442325,-0.0009387755692440991,1.45023e-08,1.4419275e-08,-1.2776000000000015e-09,1.08983,0.35972,0.34539,Eastern Asia,4.907,0.98853,0.55469,0.03285,1.53586
506,Mongolia,MNG,2017,28.19,-0.2099999999999973,,,,0.175573747,0.144948418,0.03799735700000001,0.0591364915184873,0.058635896405442325,0.0012742936769105026,1.51286e-08,1.4419275e-08,6.263000000000014e-10,1.4930112361908,0.394143968820572,0.338464230298996,,4.95499992370605,1.02723586559296,0.557783484458923,0.0329022891819477,1.11129236221313
507,Mongolia,MNG,2018,27.8,-0.39000000000000057,MNG,29.600000381469727,-1.0,0.125083581,0.144948418,-0.050490166,0.0587439228508843,0.058635896405442325,-0.0003925686676030035,1.22663e-08,1.4419275e-08,-2.8623000000000008e-09,,0.395,0.253,,5.125,0.914,0.575,0.032,
508,Montenegro,MNE,2015,10.25,,MNE,33.099998474121094,,0.154663665,0.14579788425,,0.0580678810691803,0.05934304038912815,,1.01926e-08,1.06272325e-08,,0.90557,0.1826,0.1614,Central and Eastern Europe,5.192,0.97438,0.72521,0.14296,2.10017
509,Montenegro,MNE,2016,10.26,0.009999999999999787,,,,0.141832498,0.14579788425,-0.012831167000000004,0.058592066719508,0.05934304038912815,0.0005241856503276979,9.98773e-09,1.06272325e-08,-2.0487000000000076e-10,0.74173,0.15111,0.17191,Central and Eastern Europe,5.161,1.07838,0.63533,0.12721,2.25531
510,Montenegro,MNE,2017,10.16,-0.09999999999999964,,,,0.148260764,0.14579788425,0.006428265999999988,0.0608047882376648,0.05934304038912815,0.002212721518156803,1.09748e-08,1.06272325e-08,9.8707e-10,1.23837649822235,0.194989055395126,0.197911024093628,,5.23699998855591,1.12112903594971,0.667464673519135,0.0881741940975189,1.72919154167175
511,Montenegro,MNE,2018,9.69,-0.47000000000000064,MNE,31.799999237060547,-1.2999992370605469,0.13843461,0.14579788425,-0.009826153999999976,0.0599074255301595,0.05934304038912815,-0.0008973627075053031,1.13538e-08,1.06272325e-08,3.789999999999996e-10,,0.259,0.111,,5.347,1.017,0.729,0.081,
512,Morocco,MAR,2015,39.16,,MAR,16.200000762939453,,0.187794639,0.18526348175000001,,0.0580562714728132,0.05916770699537305,,1.93683e-08,2.0159175e-08,,0.64095,0.41691,0.07172,Middle East and Northern Africa,5.013,0.73479,0.60954,0.08546,2.45373
513,Morocco,MAR,2016,38.66,-0.5,,,,0.182521392,0.18526348175000001,-0.005273247000000009,0.0583378940342496,0.05916770699537305,0.0002816225614363996,1.955e-08,2.0159175e-08,1.8169999999999825e-10,0.38595,0.25646,0.04053,Middle East and Northern Africa,5.151,0.84058,0.59471,0.08404,2.94891
514,Morocco,MAR,2017,38.25,-0.4099999999999966,,,,0.188999017,0.18526348175000001,0.006477624999999987,0.0601510399927494,0.05916770699537305,0.0018131459584998025,2.19461e-08,2.0159175e-08,2.396099999999999e-09,0.774864435195923,0.408158332109451,0.0322099551558495,,5.2350001335144,0.878114581108093,0.59771066904068,0.0877631828188896,2.45618939399719
515,Morocco,MAR,2018,37.8,-0.45000000000000284,MAR,14.899999618530272,-1.3000011444091815,0.181738879,0.18526348175000001,-0.007260137999999999,0.06012562248168,0.05916770699537305,-2.5417511069401877e-05,1.97723e-08,2.0159175e-08,-2.1737999999999993e-09,,0.46,0.026,,5.254,0.779,0.669,0.074,
516,Mozambique,MOZ,2015,41.85,,MOZ,17.0,,0.150782768,0.14302064450000002,,0.0435045223154072,0.0435510626653076,,1.61651e-08,1.5130075e-08,,1.02626,0.34037,0.22269,Sub-Saharan Africa,4.971,0.08308,0.09131,0.15603,3.05137
517,Mozambique,MOZ,2016,40.86,-0.990000000000002,,,,0.140994887,0.14302064450000002,-0.009787880999999998,0.0431213392453907,0.0435510626653076,-0.0003831830700164948,1.47148e-08,1.5130075e-08,-1.450300000000001e-09,,,,,,,,,
518,Mozambique,MOZ,2017,40.13,-0.7299999999999969,,,,0.135533138,0.14302064450000002,-0.005461749000000016,0.0434490066305406,0.0435510626653076,0.00032766738514989485,1.38812e-08,1.5130075e-08,-8.336000000000009e-10,0.870701014995575,0.480791091918945,0.322228103876114,,4.55000019073486,0.234305649995804,0.106654435396194,0.179436385631561,2.35565090179443
519,Mozambique,MOZ,2018,39.5,-0.6300000000000026,MOZ,14.800000190734863,-2.1999998092651367,0.144771785,0.14302064450000002,0.009238646999999989,0.0441293824698919,0.0435510626653076,0.0006803758393513007,1.57592e-08,1.5130075e-08,1.8780000000000003e-09,,0.531,0.206,,4.417,0.198,0.173,0.158,
520,Myanmar,MMR,2015,125.45,,MMR,48.79999923706055,,0.309931794,0.2984121455,,0.0477330273293439,0.047959030834703924,,2.97158e-08,2.9775150000000002e-08,,0.70905,0.44017,0.79588,Southeastern Asia,4.307,0.27108,0.48246,0.19034,1.41805
