country,mortality,increase_mort,smoke_prev,increse_smoke,CO,uplift_CO,O3,uplift_O3,Economy (GDP per Capita)
Afghanistan,70.4775,-0.7899999999999991,24.899999618530273,-0.7333335876464844,0.1895209315,-0.001297483000000002,0.058226421581198826,0.00043743880836757433,0.3588918044185637
Albania,19.92,-0.09499999999999975,24.050000190734863,-0.7000001271565756,0.146900025,-0.004212915000000005,0.05979588011620378,0.0005360255856111003,0.936540688328743
Algeria,31.21,-0.3075000000000001,21.050000190734863,-0.03333346048990882,0.214399955,-0.0020187857500000017,0.0625168719992514,0.0010553038694882735,1.015703616666795
Andorra,25.87,-0.129999999999999,32.0,-1.0,0.146827911,-0.004895050999999984,0.0544831654626124,-0.00046049647327259935,1.121857453009605
Angola,48.465,-1.0050000000000026,22.9699999332428,0.0,0.260055258,-0.02151016850000001,0.048558504261661,0.00019798832194955,0.8528690901088716
Argentina,35.425,0.057500000000000995,25.75,-0.5666669209798165,0.11997274675,-0.0007560322499999999,0.04230197816094537,0.000999447490189499,1.115793865652085
Armenia,34.667500000000004,-0.3674999999999997,26.34999942779541,-0.3666667938232433,0.15923177075,-0.0009443260000000023,0.05515883002679525,0.0004895064363333746,0.8364166844654082
Australia,24.3425,-0.11249999999999982,14.849999904632568,-0.5666666030883789,0.0855106375,-0.0013612365000000015,0.046758705433155676,0.000983986921265249,1.400606233778
Austria,17.407499999999995,-0.14749999999999996,29.15000057220459,-1.3666667938232422,0.17587087099999998,-0.004560535250000004,0.0521137572938041,0.00048065277148997415,1.403926815834045
Azerbaijan,34.379999999999995,-0.45000000000000107,24.700000762939453,-0.3333333333333333,0.14285382025,-0.0023099947500000023,0.0550422681107074,0.0006687957953436744,1.0813054414081575
Bahamas,14.519999999999996,0.07000000000000023,10.699999809265137,0.09999942779540838,0.084062421,-0.004336891999999995,0.0633926069789191,0.0004006873402777056,1.0288854291877747
Bahrain,37.8725,-0.08000000000000007,15.799999713897705,-0.3999999364217122,0.24045217149999998,0.005244240250000004,0.07652745812182796,0.0013460577160586476,1.397603065252305
Bangladesh,62.4025,0.29250000000000037,37.05000114440918,-1.2333335876464844,0.693428669,0.01064198899999999,0.05728225777429662,0.0003770922941980989,0.5144957438230515
Barbados,12.469999999999999,0.16999999999999987,8.5,-0.3000001907348633,0.07623586299999999,-0.0021173240000000038,0.0561886180549533,0.0024797206009145034,1.0467420132150647
Belarus,14.502500000000001,0.17499999999999977,31.949999809265137,-0.7000001271565743,0.13799614300000002,-0.0018159582500000063,0.051732635571594826,-0.00015277450680925038,1.08952438999176
Belgium,27.535,-0.09250000000000025,24.800000190734863,-0.6000003814697253,0.175246428,-0.0031768060000000042,0.047919982720713974,0.0006522617860326256,1.38024769019127
Belize,28.653333333333336,-0.10333333333333289,8.800000190734863,-0.2999998728434245,0.10746427733333334,-0.002602895999999998,0.05071220168659637,0.00043724637041193487,0.8637117720158893
Benin,44.3925,-0.6174999999999997,7.90000009536743,-0.46666685740152997,0.26063219575,0.0004413659999999986,0.05102982906330865,0.0004115932606744005,0.3726813519334793
Bhutan,126.155,-1.404999999999994,28.249999618530275,0.0,0.4489359625,-0.005633053500000013,0.056611250094014104,-0.00010724690430259984,0.8690581942558291
Bolivia,51.855,-0.3224999999999998,14.400000095367432,-0.8000001907348638,0.15458182975,-0.0020413555000000014,0.03167275335071155,0.00029665421437817443,0.765076641511917
Bosnia and Herzegovina,21.8725,-0.41000000000000014,36.60000038146973,-0.7333335876464844,0.1600738855,-0.003604328249999997,0.055194674764302676,0.0005299723364671997,0.9158673544073106
Botswana,61.1575,-0.8574999999999999,20.75,-0.6333338419596354,0.13105505150000002,0.00042856874999999683,0.05046342304485557,7.986982570282533e-05,1.0567260385894774
Brazil,34.9775,-0.2400000000000002,14.049999713897705,-0.5666666030883784,0.15181187425,-0.0026554597499999985,0.04554537927798598,0.0002476414212922006,1.040533302612305
Bulgaria,20.2925,0.06749999999999984,40.05000114440918,-0.4333330790201823,0.16607312125,-0.003086400000000003,0.0528122525946145,0.00032908132055135125,1.0851697720813749
Burkina Faso,32.5175,-0.06000000000000044,15.949999809265137,-0.7000001271565761,0.185289181,0.003384837249999995,0.04512669656397257,-6.996025171567515e-05,0.31057442839622496
Burundi,61.974999999999994,-0.4275000000000002,13.049999713897705,-0.5666666030883784,0.43019440124999997,-0.00416111475,0.045276051068664905,-0.0001701968298371235,0.06655814216673372
Cambodia,54.97,-0.3800000000000008,23.550000190734863,-1.1000003814697255,0.23977398425,-0.007843658749999996,0.04970480278906037,0.000284994414808051,0.541796274046898
Cameroon,42.86,-0.9349999999999987,7.949999809265137,-0.2999998728434245,0.26124888275,0.002196753250000003,0.04524510890299047,0.00023780756671087398,0.5116938412714005
Canada,23.965,0.009999999999999787,14.700000286102295,-0.733333269755045,0.16145109775,-0.0029184434999999995,0.0450812804295613,0.0003151124539390506,1.393911104068755
Central African Republic,92.98,-0.8599999999999994,13.100000095367431,0.0,0.304915105,-0.03200684500000001,0.0393042613283154,-0.002187734981794698,0.0
Chad,54.3075,-0.432500000000001,8.949999809265137,-0.2999998728434239,0.18182358375000002,0.0025805760000000015,0.047464639947294926,0.00020913027001877478,0.3900207468438147
